USMTM004,Introdução ao Cálculo
USMTM003,Geometria Euclidiana Plana
USMTM001,Cálculo Vetorial e Geometria Analítica
USMTM007,Cálculo 1
USMTM012,Álgebra Linear 1
USMTM013,Cálculo 2
USMTM014,Física Geral 1
USMTM018,Cálculo 3
USMTM020,Física Geral 2
USMTM005,Elementos de Matemática 1
USMTM026,Introdução a Ciência da Computação
USMTM021,Didática
USMTM040,Trabalho de Conclusão de Curso 1
USAADM001,Teoria da Administração I
USAADM006,Cálculo
USAADM004,Fundamentos da Economia
USAADM010,Introdução à Contabilidade
USAADM007,Teoria da Administração II
USAADM013,Microeconomia
USAADM012,Atividades Curriculares de Extensão (ACE I)
USAADM015,Fundamentos de Marketing
USAADM019,Gestão de Pessoas I
USAADM008,Direito Empresarial
USAADM011,Matemática Financeira
USAADM014,Direito Administrativo
USAADM027,Administração Financeira I
USAADM003,Metodologia Científica
USAADM034,Logística
USAADM042,Projeto de TCC
